time,angular_velocity
1.08,-2.375031037574045
1.082,-2.352081166623919
1.084,-2.32052509382882
1.086,-2.275199097876824
1.088,-2.231020594946771
1.09,-2.184547104270771
1.0919999999999999,-2.1403686002379643
1.0939999999999999,-2.1065175383439763
1.0959999999999999,-2.0640602738300977
1.098,-2.0129968063978096
1.1,-1.9636545787660933
1.1019999999999999,-1.9137386036286423
1.1039999999999999,-1.8655438683728645
1.1059999999999999,-1.8139066513312896
1.108,-1.7536632305420938
1.11,-1.692272315021648
1.1119999999999999,-1.6343238798206237
1.1139999999999999,-1.5723592154472483
1.1159999999999999,-1.5178532598312946
1.1179999999999999,-1.461052315773646
1.1199999999999999,-1.3910551916228997
1.1219999999999999,-1.3216318131197016
1.1239999999999999,-1.2665521069633774
1.126,-1.1954074853405536
1.128,-1.1185253927540617
1.13,-1.0496757563045414
1.132,-0.978531130691012
1.134,-0.8993540458211976
1.136,-0.8305044055032362
1.138,-0.7702609692366157
1.1400000000000001,-0.6951001093682508
1.142,-0.6164967658453903
1.144,-0.5378934207726792
1.146,-0.466748785946225
1.148,-0.3944566557210984
1.1500000000000001,-0.3135583179839015
1.152,-0.23438121991501235
1.154,-0.14831915505513113
1.156,-0.0783220076379397
1.158,-0.0043086291583418574
1.16,0.06855725637318089
1.162,0.14371813176206294
1.164,0.21428903125777912
1.166,0.281991196115954
1.168,0.3502671092341281
1.17,0.4317392086796499
1.172,0.5057525961463539
1.174,0.5837822153260643
1.176,0.6520581332691057
1.178,0.7214815467369387
1.18,0.7903312140819938
1.182,0.8551646518251783
1.184,0.9280305520262108
1.186,0.9986014643937948
1.188,1.0611399161318056
1.19,1.1173671487210506
1.192,1.1770368657131831
1.194,1.2395753199521324
1.196,1.3147362156460165
1.198,1.3744059352545672
1.2,1.4248956986127226
1.202,1.4857129143093115
1.204,1.5488251201318035
1.206,1.602757369430376
1.208,1.6601321034185208
1.21,1.722096816923474
1.212,1.7737340788078653
1.214,1.817338878176992
1.216,1.8609436779518025
1.218,1.907990962372885
1.22,1.9607757210622705
1.222,2.0020855326209794
1.224,2.0347891336931254
1.226,2.0634765032396087
1.228,2.1030650734969103
1.23,2.148391118106624
1.232,2.181668467586217
1.234,2.2149458172958725
1.236,2.2436331879194458
1.238,2.2792055277289944
1.24,2.30387666678248
1.242,2.3245315739934016
1.244,2.3360065224818163
1.246,2.354366440119518
1.2479999999999998,2.368136378393167
1.25,2.38707004358286
1.252,2.4031349716801174
1.254,2.416904910091174
1.256,2.4220686370053017
1.2579999999999998,2.430674848540935
1.26,2.433543585722836
1.262,2.4346910805960658
1.264,2.431248595977181
1.266,2.4260848690533816
1.2679999999999998,2.4209211421350245
1.27,2.419773647265017
1.272,2.4100199408808063
1.274,2.4031349716801174
1.276,2.397971244785959
1.2779999999999998,2.386496296151792
1.28,2.3710051155384027
1.2819999999999998,2.344038986439797
1.284,2.3153516152221565
1.286,2.2895329812710017
1.2879999999999998,2.2648618422904767
1.29,2.2338794818883168
1.2919999999999998,2.2057658587323306
1.294,2.1805209727727433
1.296,2.1506861077185087
1.298,2.11167128446578
1.3,2.0703614719564434
1.302,2.028477912416081
1.304,1.9906105849296991
1.306,1.947005783956054
1.308,1.9039747307576236
1.31,1.8575011937443349
1.312,1.821355109718256
1.314,1.7651278684541083
1.316,1.7083268805176248
1.318,1.658984608731787
1.32,1.6090685901342132
1.322,1.5488251201318035
1.324,1.4891553982408623
1.326,1.44096062343498
1.328,1.381864650260826
1.33,1.3221949305540994
1.332,1.255640244117299
1.334,1.190806800516663
1.336,1.1282683469582049
1.338,1.072041114231358
1.34,0.9986014643937948
1.3419999999999999,0.9360630135395764
1.344,0.8700820801143608
1.3459999999999999,0.7972161808763324
1.3479999999999999,0.7289402606466949
1.35,0.6681230552949425
1.3519999999999999,0.592962170616831
1.354,0.5091950793155277
1.3559999999999999,0.4380504277159046
1.3579999999999999,0.3755119849515803
1.36,0.2957611280846154
1.3619999999999999,0.2240427329074721
1.364,0.14371813176206294
1.3659999999999999,0.07142599205017082
1.3679999999999999,0.0020025892229044977
1.37,-0.06283083550776483
1.3719999999999999,-0.12479552367898783
1.3739999999999999,-0.19192393481028105
1.376,-0.2665110569981103
1.378,-0.34109817782040697
1.38,-0.409374079524422
1.382,-0.484534944770993
1.384,-0.5579745674710841
1.386,-0.6245292243788032
1.388,-0.6784614455405413
1.3900000000000001,-0.7496060765906221
1.392,-0.8173082243045601
1.3940000000000001,-0.8832891298550252
1.396,-0.941811323414576
1.398,-1.0158246846022474
1.4000000000000001,-1.0829530807412049
1.402,-1.1409015243364844
1.4040000000000001,-1.1931124975243477
1.406,-1.252782180300542
1.408,-1.317041837636964
1.41,-1.3721215430655929
1.412,-1.4260537538595397
1.4140000000000001,-1.4817072046205257
1.416,-1.539081895270099
1.418,-1.5918666098971632
1.42,-1.6417825893521911
1.422,-1.6894035806268584
1.4240000000000002,-1.7393195587819397
1.426,-1.784645561355537
1.428,-1.8271028290880775
1.43,-1.868986349483388
1.432,-1.9160335910060973
1.4340000000000002,-1.9630808319292736
1.436,-1.9969318951485657
1.438,-2.023897996134056
1.44,-2.0594702992585443
1.442,-2.101353817010519
1.4440000000000002,-2.129467410848761
1.446,-2.1593022448890884
1.448,-2.187415838280332
1.45,-2.213808191062045
1.452,-2.2321680885361825
1.4540000000000002,-2.2505279859173744
1.456,-2.2694616299942814
1.458,-2.280362818963333
1.46,-2.2952802353940545
1.462,-2.3159351195810807
1.4640000000000002,-2.3245413212908024
1.466,-2.338311243983657
1.4679999999999997,-2.3497861795208626
